Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
216.58.208.37-10.8.8.178-443-51936-6,216.58.208.37,443,10.8.8.178,51936,6,3/6/2015 16:58,711,3,0,0,0,0,0,0,0,0,0,0,0,0,4219.409283,355.5,282.1356057,555,156,711,355.5,282.1356057,555,156,0,0,0,0,0,0,0,0,0,60,0,4219.409283,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,1.43336E+15,0,1.43336E+15,1.43336E+15
10.8.8.178-157.56.52.25-15685-40002-17,10.8.8.178,15685,157.56.52.25,40002,17,3/6/2015 14:42,270342,1,1,34,482,34,34,34,0,482,482,482,0,1908.693433,7.398036561,270342,0,270342,270342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.699018281,3.699018281,34,482,183.3333333,258.6529206,66901.33333,0,0,0,0,0,0,0,0,1,275,34,482,0,0,0,0,0,0,0,17,0,241,0,0,0,8,0,0,0,0,0,0,0,0
10.0.2.15-195.154.107.23-58167-443-6,10.0.2.15,58167,195.154.107.23,443,6,23/02/2016 03:12:28 PM,117888716,113,114,40949,31494,1460,0,362.380531,348.1678659,1338,0,276.2631579,344.0031141,614.5032575,1.925544766,521631.4867,1413951.881,8759104,30,117888548,1052576.321,1868416.994,8759141,55,117887637,1043253.425,1865240.016,8759166,110,1,0,0,0,2260,2280,0.958531095,0.967013671,0,1460,320.1140351,347.5509346,120791.6521,0,0,0,115,227,0,0,0,1,321.5242291,362.380531,276.2631579,0,0,0,0,7,3397,0,180,0,138,65535,65535,65,20,0,0,0,0,1.45625E+15,32334717.62,1.45625E+15,1.45625E+15
10.0.2.15-195.154.82.180-40181-443-6,10.0.2.15,40181,195.154.82.180,443,6,23/02/2016 03:13:11 PM,5050701,235,558,30145,690073,1460,0,128.2765957,322.0615155,1420,0,1236.689964,371.2808375,142597.6315,157.0079084,6377.147727,25134.04998,144479,0,5050597,21583.74786,43299.10852,164304,21,4922423,8837.384201,30067.33933,144479,3,0,0,0,0,4712,11164,46.5281948,110.4797136,0,1460,907.0755668,620.2088261,384658.988,0,2,0,253,792,0,0,0,2,908.2194199,128.2765957,1236.689964,0,0,0,0,559,146325,0,38,0,870,14600,65535,39,20,0,0,0,0,1.45625E+15,1244921.309,1.45625E+15,1.45625E+15
10.8.0.10-131.202.244.5-41904-53-17,10.8.0.10,41904,131.202.244.5,53,17,14/04/2015 05:13:55 PM,682,1,1,34,307,34,34,34,0,307,307,307,0,500000,2932.55132,682,0,682,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1466.27566,1466.27566,34,307,125,157.6166235,24843,0,0,0,0,0,0,0,0,1,187.5,34,307,0,0,0,0,0,0,0,17,0,153,0,0,0,8,0,0,0,0,0,0,0,0
10.8.0.10-131.202.244.3-56336-53-17,10.8.0.10,56336,131.202.244.3,53,17,14/04/2015 05:36:08 PM,777,1,1,37,373,37,37,37,0,373,373,373,0,527670.5277,2574.002574,777,0,777,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1287.001287,1287.001287,37,373,149,193.9896904,37632,0,0,0,0,0,0,0,0,1,223.5,37,373,0,0,0,0,0,0,0,18,0,186,0,0,0,8,0,0,0,0,0,0,0,0
10.152.152.11-10.152.152.10-42454-9052-6,10.152.152.11,42454,10.152.152.10,9052,6,9/7/2015 10:33,22619,6,4,38,114,32,0,6.333333333,12.80104162,90,0,28.5,42.53234064,6720.014147,442.1061939,2513.222222,6281.094247,19247,33,22619,4523.8,8232.596352,19247,578,21874,7291.333333,11009.86927,19994,494,0,0,0,0,132,92,265.2637163,176.8424776,0,90,13.81818182,27.63265525,763.5636364,1,2,0,4,9,0,0,0,0,15.2,6.333333333,28.5,0,0,0,0,4,7226,0,3,0,11,14600,913,2,20,0,0,0,0,1.43645E+15,7649.628701,1.43645E+15,1.43645E+15
10.152.152.11-10.152.152.10-42455-9052-6,10.152.152.11,42455,10.152.152.10,9052,6,9/7/2015 10:33,8126,6,4,38,114,32,0,6.333333333,12.80104162,90,0,28.5,42.53234064,18705.39011,1230.61777,902.8888889,999.1466915,3284,47,8126,1625.2,955.7150203,3284,873,6497,2165.666667,1487.239165,3860,1076,0,0,0,0,132,92,738.3706621,492.247108,0,90,13.81818182,27.63265525,763.5636364,1,2,0,4,9,0,0,0,0,15.2,6.333333333,28.5,0,0,0,0,4,29315,0,3,0,11,14600,913,2,20,0,0,0,0,1.43645E+15,2237.228101,1.43645E+15,1.43645E+15
10.152.152.11-10.152.152.10-42456-9052-6,10.152.152.11,42456,10.152.152.10,9052,6,9/7/2015 10:33,6078,6,4,42,66,36,0,7,14.40833092,42,0,16.5,20.42057786,17769.00296,1645.278052,675.3333333,596.5096395,1630,54,6078,1215.6,507.243827,1655,408,5630,1876.666667,1286.505473,3161,588,0,0,0,0,132,92,987.1668312,658.1112208,0,42,9.818181818,16.16055805,261.1636364,1,2,0,4,9,0,0,0,0,10.8,7,16.5,0,0,0,0,4,24691,0,4,0,6,14600,913,2,20,0,0,0,0,1.44E+15,1595.227379,1.43645E+15,1.43645E+15
10.152.152.11-64.233.166.16-35361-465-6,10.152.152.11,35361,64.233.166.16,465,6,13/07/2015 04:14:14 PM,752336,7,4,599,137,517,0,85.57142857,191.3085267,137,0,34.25,68.5,978.2862976,14.62112673,75233.6,222896.5815,708539,11,752336,125389.3333,286312.0079,708851,102,709592,236530.6667,408771.2111,708539,472,0,0,0,0,152,92,9.304353374,5.316773357,0,517,61.33333333,149.0816331,22225.33333,1,2,0,4,10,0,0,0,0,66.90909091,85.57142857,34.25,0,0,0,0,4,980,0,54,0,12,14600,980,3,20,0,0,0,0,1.43681E+15,384879.0304,1.43681E+15,1.44E+15
64.233.166.16-10.152.152.11-465-35361-6,64.233.166.16,465,10.152.152.11,35361,6,13/07/2015 04:14:14 PM,13,2,0,0,0,0,0,0,0,0,0,0,0,0,153846.1538,13,0,13,13,13,13,0,13,13,0,0,0,0,0,0,0,0,0,40,0,153846.1538,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,980,0,0,20,0,0,0,0,0,0,0,0
10.152.152.11-64.233.166.16-35362-465-6,10.152.152.11,35362,64.233.166.16,465,6,13/07/2015 04:14:22 PM,18293331,1121,288,1594040,894,1460,0,1421.980375,188.2259887,243,0,3.104166667,19.91365289,87186.63649,77.02260458,12992.42259,126535.6395,3728853,0,18293331,16333.33125,157148.2315,4346932,6,18204662,63430.87805,276092.3082,3728853,0,0,0,0,0,22432,5772,61.27916234,15.74344224,0,1460,1131.158865,597.1109499,356541.4865,1,2,0,132,1408,0,0,0,0,1131.961675,1421.980375,3.104166667,0,0,0,0,374,137686,0,1131,0,0,14600,7735,1114,20,0,0,0,0,1.43681E+15,2508672.84,1.43681E+15,1.43681E+15
64.233.166.16-10.152.152.11-465-35362-6,64.233.166.16,465,10.152.152.11,35362,6,13/07/2015 04:14:40 PM,191,2,0,0,0,0,0,0,0,0,0,0,0,0,10471.20419,191,0,191,191,191,191,0,191,191,0,0,0,0,0,0,0,0,0,40,0,10471.20419,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7735,0,0,20,0,0,0,0,0,0,0,0
10.152.152.11-64.233.166.16-35364-465-6,10.152.152.11,35364,64.233.166.16,465,6,13/07/2015 04:14:53 PM,16428967,1124,288,1594332,894,1460,0,1418.44484,202.4573338,243,0,3.104166667,19.91365289,97098.37508,85.94575666,11643.49185,125664.1695,4288615,0,16428967,14629.53428,152376.0754,4698382,0,16347181,56958.81882,274689.7029,4288615,0,0,0,0,0,22492,5772,68.41574397,17.53001269,0,1460,1128.963907,599.0234163,358829.0532,1,2,0,134,1411,0,0,0,0,1129.763456,1418.44484,3.104166667,0,0,0,0,563,135990,0,1129,0,0,14600,5991,1117,20,0,0,0,0,1.43681E+15,2119216.818,1.43681E+15,1.43681E+15
64.233.166.16-10.152.152.11-465-35364-6,64.233.166.16,465,10.152.152.11,35364,6,13/07/2015 04:15:09 PM,12,2,0,0,0,0,0,0,0,0,0,0,0,0,166666.6667,12,0,12,12,12,12,0,12,12,0,0,0,0,0,0,0,0,0,40,0,166666.6667,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5991,0,0,20,0,0,0,0,0,0,0,0
10.152.152.11-64.233.166.16-35365-465-6,10.152.152.11,35365,64.233.166.16,465,6,13/07/2015 04:15:19 PM,16340897,1122,261,1593976,900,1460,0,1420.655971,192.0459245,243,0,3.448275862,20.9778777,97600.27249,84.63427681,11824.09334,116936.6534,3928924,0,16340897,14577.07136,139407.4135,4252643,0,16253973,62515.28077,264335.2694,3928924,1,0,0,0,0,22452,5232,68.6620814,15.97219541,0,1460,1152.367052,581.7611116,338445.991,1,2,0,126,1382,0,0,0,0,1153.200289,1420.655971,3.448275862,0,0,0,0,562,131937,0,1152,0,0,14600,6166,1115,20,0,0,0,0,1.43681E+15,2310563.251,1.43681E+15,1.43681E+15
